cat,min_r_ab,epsA0,epsAf,dEpsA,epsB0,epsBf,dEpsB,aA0,aAf,eA0,eAf,aB0,aBf,eB0,eBf,A_bef,A_aft,B_bef,B_aft,e_drift_scan,m_B,v_inf,b_impact,incoming_angle,A_phase,score
no_encounter,0.5826792441208926,-0.46670851134685043,-0.5331880827641493,-0.06647957141729888,0.23535415587735975,0.2356334717093069,0.00027931583194715226,1.0724038405805636,0.938693148213876,0.06755259509189836,0.13281918261370176,-2.2094362347736314,-2.206817207368173,1.1209943525363613,1.1116054506404505,True,True,False,False,1.361860575712357e-09,0.04,0.65,-0.9,0.0,1.5,-1.0
no_encounter,0.7439091719247676,-0.4948277904728444,-0.4539043945197201,0.04092339595312433,0.2346237849909703,0.23288381900684077,-0.0017399659841295378,1.0114629970999311,1.1026551098488109,0.03420551596650215,0.12557002470891482,-2.2163140877640033,-2.2328730360812465,1.1229418527737578,1.1117670164666922,True,True,False,False,1.2994226284001024e-09,0.04,0.65,-0.9,0.0,3.0,-1.0
perturbation,0.27153994574749524,-0.5315589373625658,-0.5687133076565268,-0.03715437029396107,0.23366972922760088,0.23579176609996375,0.00212203687236287,0.9415700965979975,0.8800567759920889,0.0624632120437519,0.07596190299688081,-2.2253631299136116,-2.2053357019241564,1.12031548585812,1.1097344043869704,True,True,False,False,1.1396857871544541e-09,0.04,0.65,-0.9,0.0,4.5,0.4452700530962288
ejection,0.02561803735678709,-0.5230160603948244,0.29735086164571445,0.8203669220405388,0.2338916221358539,0.2126096535061651,-0.021281968629688813,0.9569495812846988,-1.6831967367773504,0.05068613192386198,1.4676319055026157,-2.2232519286131702,-2.4457967520506845,1.1183473166020854,1.093301084271672,True,False,False,False,2.416705548157305e-10,0.04,0.65,-0.9,0.8,0.0,3.1665974023084953
perturbation,0.3678401330235517,-0.4783084567430218,-0.5757128150324691,-0.09740435828944727,0.23505285859434227,0.23626012944524008,0.001207270850897807,1.0463958831254805,0.8693570595119943,0.050664161487785665,0.20597393607366707,-2.2122683515090698,-2.2009638326238394,1.1191049452858788,1.1280858096779518,True,True,False,False,4.91048095285325e-10,0.04,0.65,-0.9,0.8,1.5,0.8904718240394124
no_encounter,0.7686288402763595,-0.47291432543166667,-0.5002479123540529,-0.027333586922386188,0.2351929659011307,0.23443679601373688,-0.0007561698873938261,1.0583312305947883,1.0005039254332133,0.058219953164662594,0.09168568012632815,-2.210950476378597,-2.218081840572205,1.1224405841080627,1.1211882877576853,True,True,False,False,7.215927293201404e-11,0.04,0.65,-0.9,0.8,3.0,-1.0
perturbation,0.37205863534453226,-0.5168587975746823,-0.40308743484694476,0.11377136272773758,0.23405155104027314,0.2316989014738403,-0.0023526495664328295,0.9683495808691954,1.2416660920974711,0.04320578077766864,0.2558623067268293,-2.2217327665157147,-2.2442920389016603,1.122138875760048,1.1064939920655166,True,True,False,False,1.2294506160179596e-10,0.04,0.65,-0.9,0.8,4.5,1.1739790979491418
perturbation,0.40980680502022304,-0.4994615,-0.6169376214277962,-0.11747612142779618,0.2340525897145008,0.23788142394573397,0.0038288342312331747,1.0020792393407698,0.8112651629862978,0.0328176781628438,0.2422076322468859,-2.2217229069513826,-2.185963037276183,1.0534763893318535,1.05560123754985,True,True,False,False,2.7039278118892414e-09,0.04,0.65,-0.6,0.0,0.0,1.0109926271963212
no_encounter,0.7605194005096203,-0.4667085113468502,-0.5472755835775829,-0.08056707223073267,0.23490331669250467,0.23647189847192612,0.0015685817794214574,1.072403840580564,0.9145301106404066,0.06755259509190165,0.14254160193393195,-2.213676704619268,-2.198992790941433,1.0553457623974793,1.066085721229263,True,True,False,False,3.568976369041119e-09,0.04,0.65,-0.6,0.0,1.5,-1.0
no_encounter,0.8915685777376677,-0.4948277904728444,-0.4451384497189375,0.04968934075390691,0.23417294580611522,0.23290366738606644,-0.001269278420048786,1.0114629970999311,1.1243692840194282,0.03420551596650215,0.12853528412868692,-2.220581024891479,-2.2326827474899145,1.0568640455015113,1.0465630610210557,True,True,False,False,2.0407729408076877e-09,0.04,0.65,-0.6,0.0,3.0,-1.0
perturbation,0.04121176460110222,-0.5315589373625658,-0.8709236283854279,-0.33936469102286215,0.2332188900427458,0.24304719032209215,0.009828300279346364,0.9415700965979975,0.5746772549136803,0.0624632120437519,0.9772951056591486,-2.229665015148178,-2.1395022065915805,1.055182700516421,1.0567999789483582,True,True,False,False,2.117289423793651e-08,0.04,0.65,-0.6,0.0,4.5,0.27297369451854886
perturbation,0.1897725891103358,-0.5230160603948244,-0.7116600195835965,-0.18864395918877208,0.23344078295099882,0.23900907440742467,0.0055682914564258446,0.9569495812846988,0.7032852573239261,0.05068613192386198,0.37488093569180336,-2.2275456474507815,-2.175649612004215,1.05375288527119,1.0467377697148825,True,True,False,False,1.2718625303236357e-09,0.04,0.65,-0.6,0.8,0.0,1.361557176853692
no_encounter,0.5609924693335988,-0.478308456743022,-0.579187817688801,-0.10087936094577898,0.2346020194094872,0.236517275263176,0.0019152558536888187,1.0463958831254798,0.8641411036530464,0.05066416148778457,0.1957457982324399,-2.216519709885206,-2.1985709053234648,1.0540700219952863,1.0685215139976212,True,True,False,False,1.520963150101569e-09,0.04,0.65,-0.6,0.8,1.5,-1.0
no_encounter,0.9053771036720188,-0.47291432543166667,-0.5097461920535082,-0.03683186662184157,0.23474212671627562,0.23527602178309576,0.0005338950668201392,1.0583312305947883,0.9818611846490504,0.058219953164662594,0.09391679355414148,-2.2151967662306533,-2.2101699784748794,1.0563999317599508,1.0652504800142342,True,True,False,False,5.784232839658819e-10,0.04,0.65,-0.6,0.8,3.0,-1.0
no_encounter,0.6020641019938168,-0.5168587975746823,-0.4050646410393051,0.11179415653537722,0.23360071185541806,0.23092339117120408,-0.002677320684213974,0.9683495808691954,1.2356052572641965,0.04320578077766864,0.2363731191233083,-2.2260206138491667,-2.251829047558364,1.0564025739970402,1.0460998412718303,True,True,False,False,6.817588136092138e-10,0.04,0.65,-0.6,0.8,4.5,-1.0
perturbation,0.3287514122085992,-0.4994615,-0.7412562011126173,-0.24179470111261725,0.2340525897145008,0.23962884180732374,0.0055762520928229475,1.0020792393407698,0.6752051439822764,0.0328176781628438,0.42974979803428226,-2.2217229069513826,-2.1700225902611168,1.0568346238000048,1.0568297827778093,True,True,False,False,3.1382892519259727e-09,0.04,0.65,0.6,0.0,0.0,1.6552682282276563
no_encounter,0.8364524446023437,-0.4667085113468502,-0.5781130561983842,-0.11140454485153395,0.23490331669250467,0.2376646423522938,0.002761325659789121,1.072403840580564,0.8657476156847932,0.06755259509190165,0.1545077792072455,-2.213676704619268,-2.187956924737658,1.055584386791028,1.060558376860795,True,True,False,False,2.331227319461794e-09,0.04,0.65,0.6,0.0,1.5,-1.0
no_encounter,0.5142703569221663,-0.4948277904728444,-0.26420791849408776,0.23061987197875666,0.23417294580611522,0.22802404937579535,-0.006148896430319878,1.0114629970999311,1.8943414067705158,0.03420551596650215,0.4489414344011839,-2.220581024891479,-2.280461211979502,1.05353730097187,1.0460985604764357,True,True,False,False,2.224279019926602e-09,0.04,0.65,0.6,0.0,3.0,-1.0
no_encounter,0.695902860507787,-0.5315589373625658,-0.5714808125264096,-0.03992187516384382,0.2332188900427458,0.23419782711247658,0.0009789370697307898,0.9415700965979975,0.8757949331446199,0.0624632120437519,0.04619249159452663,-2.229665015148178,-2.2203451091382806,1.0544779116277274,1.0553878346268255,True,True,False,False,3.272150485823699e-09,0.04,0.65,0.6,0.0,4.5,-1.0
